food_name,calories,protein,carbohydrates,fat,fiber,sugar,sodium,calcium,iron,potassium,nutrition_density,meal_type,food_preference,cuisine,allergens,serving_size
Abalone,89,14.5,5.1,0.6,0.0,0.0,0.3,26.4,2.7,212.5,51.092,Lunch,Vegetarian,International,None,100 g
Abiyuch,157,3.4,40.1,0.2,12.1,19.5,0.093,18.2,3.7,693.1,201.0,Lunch,Vegetarian,International,None,100 g
Acerola Cherry,2,0.079,0.4,0.052,0.077,0.0,0.088,0.0,0.007,0.5,0.707,Lunch,Vegetarian,International,None,100 g
Acerola Cherry Juice,56,1.0,11.6,0.7,0.7,10.9,0.082,24.2,1.2,234.7,3911.4,Lunch,Vegetarian,International,None,100 g
Acorn Dried,144,2.3,15.2,8.9,0.0,0.0,0.0,15.3,0.3,200.6,42.0,Lunch,Vegetarian,International,None,100 g
Acorn Flour,626,9.4,68.3,37.7,0.0,0.0,0.0,53.8,1.5,890.0,170.7,Lunch,Vegetarian,International,None,100 g
Acorn Raw,110,1.7,11.5,6.8,0.0,0.0,0.0,11.6,0.2,152.5,31.8,Lunch,Vegetarian,International,None,100 g
Acorn Squash Cooked,115,2.3,29.9,0.3,9.0,0.0,0.5,90.2,1.9,895.9,155.7,Lunch,Vegetarian,International,None,100 g
Acorn Squash Raw,172,3.4,44.9,0.4,6.5,0.0,0.017,142.2,3.0,1495.6,247.8,Lunch,Vegetarian,International,None,100 g
Adobo Fresco,780,5.8,53.6,60.2,3.7,5.8,49.4,354.2,9.2,538.6,503.4,Lunch,Vegetarian,International,None,100 g
Adzuki Beans Cooked,294,17.3,57.0,0.2,16.8,0.0,0.079,0.0,0.7,386.4,92.2,Lunch,Vegetarian,International,None,100 g
Adzuki Beans Raw,648,39.1,123.9,1.0,25.0,0.0,0.06,130.0,9.8,2470.4,328.8,Lunch,Vegetarian,International,None,100 g
After Eight Mints Nestle,36,0.1,6.7,1.0,0.2,5.6,0.025,1.1,0.062,0.0,9.163,Lunch,Vegetarian,International,None,100 g
Agar,1,0.053,0.3,0.058,0.027,0.005,0.049,0.075,0.002,0.3,0.587,Lunch,Vegetarian,International,None,100 g
Agave Syrup,21,0.025,5.3,0.081,0.01,4.7,0.09,0.088,0.042,0.3,5.456,Lunch,Vegetarian,International,None,100 g
Alaska King Crab Cooked,130,25.9,0.0,2.1,0.0,0.0,1.4,79.1,1.0,351.1,118.35,Lunch,Non-Vegetarian,International,None,100 g
Alaska King Crab Raw,144,31.5,0.0,1.0,0.0,0.0,1.4,79.1,1.0,350.9,124.608,Lunch,Non-Vegetarian,International,None,100 g
Alfalfa Seeds,1,0.1,0.002,0.075,0.015,0.058,0.048,1.0,0.034,2.4,1.435,Lunch,Vegetarian,International,None,100 g
Allspice Ground,5,0.1,1.4,0.2,0.4,0.0,0.001,12.6,0.1,19.8,15.5,Lunch,Vegetarian,International,None,100 g
Almond Butter,98,3.4,3.0,8.9,1.6,0.7,0.037,55.5,0.6,119.7,73.0,Breakfast,Vegetarian,International,"Milk, Tree Nuts",100 g
Almond Granola Bar,119,1.8,14.9,6.1,1.2,0.0,0.067,7.7,0.6,65.5,32.3,Snack,Vegetarian,International,Tree Nuts,100 g
Almond Oil,120,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6,Snack,Vegetarian,International,Tree Nuts,100 g
Almond Paste,1040,20.4,108.5,63.0,10.9,82.3,0.051,390.4,3.6,712.8,597.0,Snack,Vegetarian,International,Tree Nuts,100 g
Almond Rice Bar,128,2.0,18.1,5.7,1.0,0.0,0.0,20.7,1.8,64.1,52.5,Snack,Vegetarian,International,Tree Nuts,100 g
Almonds Raw,9,0.3,0.3,0.7,0.2,0.026,0.043,4.0,0.082,10.6,5.554,Snack,Vegetarian,International,Tree Nuts,100 g
Almonds Roasted,182,6.4,5.3,16.6,3.2,1.4,0.029,87.3,1.1,209.7,119.9,Snack,Vegetarian,International,Tree Nuts,100 g
Amaranth Cooked,251,9.3,46.0,3.9,5.2,0.0,0.095,115.6,5.2,332.1,185.2,Lunch,Vegetarian,International,None,100 g
Amaranth Flakes,134,5.9,27.0,2.7,3.6,0.2,0.067,6.5,0.7,134.1,47.4,Lunch,Vegetarian,International,None,100 g
Amaranth Leaves,6,0.7,1.1,0.075,0.0,0.0,0.071,60.2,0.6,171.1,74.73,Lunch,Vegetarian,International,None,100 g
Amaranth Raw,37,1.4,6.5,0.7,0.7,0.2,0.077,15.9,0.8,50.8,26.4,Lunch,Vegetarian,International,None,100 g
American Cheese,93,4.5,0.9,7.9,0.0,0.6,0.4,261.3,0.2,33.0,274.886,Breakfast,Vegetarian,International,Milk,100 g
American Cheese Spread,46,2.6,1.4,3.4,0.0,1.2,0.3,89.9,0.079,38.7,97.357,Breakfast,Vegetarian,International,Milk,100 g
American Grapes,2,0.035,0.4,0.087,0.09,0.4,0.056,0.3,0.099,4.6,0.93,Snack,Vegetarian,International,None,100 g
American Shad Cooked,363,31.3,0.0,25.4,0.0,0.0,0.043,86.4,1.8,708.5,144.967,Lunch,Vegetarian,International,None,100 g
American Shad Raw,362,31.2,0.0,25.3,0.0,0.0,0.001,86.5,1.8,706.6,144.868,Lunch,Vegetarian,International,None,100 g
Amp Energy Pepsi,110,0.6,29.0,0.2,0.0,29.0,0.093,31.2,0.053,7.2,61.067,Lunch,Vegetarian,International,None,100 g
Amp Energy Sugar Free Pepsi,5,0.0,2.5,0.0,0.0,0.0,0.093,0.0,0.0,4.8,2.5,Lunch,Vegetarian,International,None,100 g
Ancho Pepper Dried,48,2.0,8.7,1.4,3.7,0.0,0.068,10.4,1.9,409.9,28.4,Lunch,Vegetarian,International,None,100 g
Anchovy Canned In Oil,8,1.2,0.0,0.4,0.0,0.0,0.1,9.3,0.2,21.8,11.106,Lunch,Vegetarian,International,None,100 g
Anchovy Raw,37,5.8,0.0,1.4,0.0,0.0,0.012,41.6,0.9,108.4,49.714,Lunch,Vegetarian,International,None,100 g
Anejo Cheese,492,28.3,6.1,39.6,0.0,6.1,1.5,897.6,0.6,114.8,972.205,Breakfast,Vegetarian,International,Milk,100 g
Angel Food Cake,72,1.7,16.2,0.2,0.4,0.0,0.2,39.2,0.1,26.0,57.8,Lunch,Vegetarian,International,None,100 g
Anise Seeds,7,0.4,1.1,0.3,0.3,0.0,0.1,13.6,0.8,30.3,16.9,Lunch,Vegetarian,International,None,100 g
Apple,95,0.5,25.1,0.3,4.4,18.9,0.062,0.044,0.086,20.0,30.438,Snack,Vegetarian,International,None,100 g
Apple Butter,35,0.045,8.5,0.063,0.3,7.1,0.003,2.8,0.025,18.2,11.836,Breakfast,Vegetarian,International,Milk,100 g
Apple Crisp,454,4.9,87.0,9.7,3.9,55.5,1.0,98.7,2.3,220.0,212.724,Snack,Vegetarian,International,None,100 g
Apple Croissant,145,4.2,21.1,5.0,1.4,0.0,0.2,17.1,0.6,51.3,49.733,Snack,Vegetarian,International,None,100 g
Apple Dippers Mcdonalds,33,0.0,8.2,0.0,0.0,6.3,0.0,42.2,0.021,0.0,238.864,Snack,Vegetarian,International,None,100 g
Apple Dried,145,0.6,39.1,0.2,5.1,34.0,0.024,7.7,0.8,267.8,56.1,Snack,Vegetarian,International,None,100 g
Apple Juice,114,0.2,28.0,0.3,0.5,23.9,0.038,0.0,0.065,17.4,29.087,Snack,Vegetarian,International,None,100 g
Apple Juice Concentrate,350,1.1,86.5,0.8,0.8,81.9,0.049,42.2,1.9,945.3,137.7,Snack,Vegetarian,International,None,100 g
Apple Juice Martinellis,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,Vegetarian,International,None,100 g
Apple Pie,331,3.0,46.4,15.6,0.0,0.0,0.3,8.8,1.4,98.8,77.358,Snack,Vegetarian,International,None,100 g
Apple Strudel,195,2.3,29.2,8.0,1.6,18.3,0.02,10.7,0.3,105.8,53.359,Snack,Vegetarian,International,None,100 g
Applesauce,102,0.4,27.5,0.2,2.7,22.9,0.031,0.043,0.014,12.2,30.923,Snack,Vegetarian,International,None,100 g
Apricot,17,0.5,3.9,0.1,0.7,3.2,0.02,0.039,0.012,8.1,5.334,Lunch,Vegetarian,International,None,100 g
Apricot Dried,17,0.2,4.4,0.015,0.5,3.7,0.066,3.9,0.2,81.3,9.329,Lunch,Vegetarian,International,None,100 g
Apricot Jam,48,0.1,12.9,0.01,0.044,8.7,0.004,4.0,0.066,15.4,18.91,Lunch,Vegetarian,International,None,100 g
Apricot Juice,117,1.5,30.1,0.07,3.9,26.2,0.024,0.053,0.1,48.8,35.804,Lunch,Vegetarian,International,None,100 g
Apricot Kernel Oil,40,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,Lunch,Vegetarian,International,None,100 g
Apricot Nectar,139,0.9,35.7,0.2,1.5,34.2,0.025,17.4,0.9,282.7,58.1,Lunch,Vegetarian,International,None,100 g
Arepa,215,5.4,36.4,5.3,2.5,0.9,0.3,87.2,1.0,86.2,137.897,Lunch,Vegetarian,International,None,100 g
Arrowhead,12,0.6,2.4,0.084,0.0,0.0,0.082,1.2,0.3,110.6,4.68,Lunch,Vegetarian,International,None,100 g
Arrowroot,78,5.1,16.1,0.2,1.6,0.0,0.052,7.2,2.7,544.8,35.2,Lunch,Vegetarian,International,None,100 g
Arrowroot Flour,457,0.4,112.8,0.1,4.4,0.0,0.002,51.2,0.4,14.1,169.3,Lunch,Vegetarian,International,None,100 g
Arroz Con Abichuelas,223,6.2,37.3,5.4,4.1,0.2,0.6,23.6,1.9,304.6,78.5,Lunch,Vegetarian,International,None,100 g
Arroz Con Frijoles,220,6.8,35.6,5.6,5.0,1.3,0.6,54.0,2.3,327.0,109.3,Lunch,Vegetarian,International,None,100 g
Arroz Con Grandules,209,4.0,35.4,5.7,1.6,0.0,0.7,9.2,0.3,96.6,56.2,Lunch,Vegetarian,International,None,100 g
Arroz Con Leche,369,8.1,63.0,9.3,1.3,38.6,0.3,227.7,0.6,359.3,310.0,Lunch,Vegetarian,International,None,100 g
Artichoke Cooked,64,3.5,14.3,0.4,10.3,1.2,0.087,0.035,0.2,87.6,28.845,Lunch,Vegetarian,International,None,100 g
Artichoke Raw,60,4.2,13.5,0.2,6.9,1.3,0.1,0.045,0.3,115.2,25.274,Lunch,Vegetarian,International,None,100 g
